City,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,City
Castle Rock,0.0,,3.1,,,,0.0,,,0.0,0.0,29.0,73.3,130.33,Castle Rock
Cedar Park,0.0,2015.0,2.7,35.0,42.0,,0.0,,,0.0,0.0,41.0,67.79,145.76,Cedar Park
Cedar Rapids,0.0,1952.0,4.0,71.0,108.0,,0.0,,1.0,0.0,0.0,,,,Cedar Rapids
Celebration,0.0,,4.8,,,,0.0,,,0.0,0.0,49.0,65.7,102.08,Celebration
Centennial,0.0,1976.5555555555557,3.433333333333333,66.3,96.5,,0.0,0.2222222222222222,0.36363636363636365,0.0,0.08333333333333333,29.0,73.29999999999997,130.32999999999996,Centennial
Century City,0.0,1997.0,3.5,115.0,201.0,,0.0,,,0.0,0.0,19.0,76.55,113.78,Century City
Cerritos,0.0,1995.4,3.8,69.33333333333333,107.66666666666667,102.5,0.0,1.0,,0.0,0.0,19.0,76.55,113.77999999999999,Cerritos
Chandler,0.11764705882352941,1949.404761904762,3.6541666666666655,72.5,114.33333333333333,72.38888888888889,0.0,1.0,1.0,0.0,0.058823529411764705,43.0,67.40999999999997,127.26000000000015,Chandler
Chantilly,0.09090909090909091,2002.4545454545455,4.018181818181818,89.18181818181819,138.9090909090909,,0.0,1.0,1.0,0.0,0.0,6.0,87.74,130.25,Chantilly
Charleston,0.0,1979.0,3.8,49.0,88.0,,0.0,,,0.0,0.0,,,,Charleston
Charlotte,0.07142857142857142,1981.3898305084747,3.7802816901408454,52.44047619047619,86.86904761904762,,0.011904761904761904,1.0,1.0,0.0,0.047619047619047616,31.0,72.39999999999992,144.29000000000028,Charlotte
Charlottesville,0.25,1980.5,4.074999999999999,78.5,121.75,,0.0,1.0,,0.0,0.0,,,,Charlottesville
Chattanooga,0.0,1973.0,3.6,78.0,133.0,,0.0,,,0.0,0.0,,,,Chattanooga
Cheektowaga,0.0,,3.6,,,,0.0,,,0.0,0.0,25.0,73.92,107.05,Cheektowaga
Cherry Hill,0.4,1997.0,4.0,89.75,149.0,46.5,0.0,,1.0,0.0,0.0,13.0,78.84,100.23,Cherry Hill
Chesapeake,0.16666666666666666,1971.6,3.7000000000000006,62.666666666666664,104.16666666666667,,0.0,,1.0,0.0,0.0,,,,Chesapeake
Chester Township,0.0,,3.2,37.0,44.0,,0.0,,,0.0,0.0,13.0,78.84,100.23,Chester Township
Chesterbrook,0.0,2003.0,4.7,,,73.0,0.0,,1.0,0.0,0.0,13.0,78.84,100.23,Chesterbrook
Chevy Chase,0.75,1936.0,3.375,87.25,116.75,,0.0,1.0,1.0,0.0,0.0,6.0,87.74,130.25,Chevy Chase
Cheyenne,0.0,,4.1,51.0,92.0,,0.0,,,0.0,0.0,,,,Cheyenne
Chicago,0.11323155216284987,1981.357142857143,3.7780419580419613,72.37704918032787,110.24043715846994,76.9324894514768,0.003816793893129771,1.0,1.0,0.011450381679389313,0.10178117048346055,11.0,80.18000000000026,113.52000000000004,Chicago
Chubbuck,0.0,1940.0,4.2,86.0,143.0,,0.0,,,0.0,0.0,,,,Chubbuck
Chula Vista,0.0,1996.0,3.1,60.0,124.0,,0.0,,,0.0,0.0,23.0,74.22,130.19,Chula Vista
Cincinnati,0.0,1901.4285714285713,3.9571428571428564,68.71428571428571,98.42857142857143,,0.0,,1.0,0.0,0.0,55.0,61.63999999999999,131.80999999999997,Cincinnati
City of Industry,0.0,1959.2,3.483333333333334,97.0,115.0,91.16666666666667,0.0,,1.0,0.0,0.0,19.0,76.55,113.77999999999999,City of Industry
Clayton,0.0,2002.0,4.8,59.0,101.0,,0.0,,,0.0,0.0,36.0,70.78,126.33,Clayton
Clearwater,0.1111111111111111,2004.0,3.8400000000000007,76.0,127.0,,0.0,0.0,0.0,0.0,0.0,45.0,67.10000000000001,126.19000000000003,Clearwater
Clermont,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,49.0,65.7,102.08,Clermont
Cleveland,0.0,1917.0,3.3,83.0,99.0,,0.0,,,0.0,0.0,,,,Cleveland
Clinton,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,Clinton
College Park,0.0,1856.0,4.3,125.0,156.0,,0.0,1.0,,0.0,0.0,6.0,87.74,130.25,College Park
Collegeville,0.0,1867.6923076923076,3.8933333333333326,83.61538461538461,148.07692307692307,78.25,0.0,1.0,1.0,0.0,0.0,13.0,78.84,100.23,Collegeville
Colorado Springs,0.15789473684210525,1989.0,4.18,59.0,101.0,,0.0,0.0,0.2,0.0,0.0,34.0,70.97000000000001,112.60999999999996,Colorado Springs
Columbia,0.15384615384615385,1989.7272727272727,4.363636363636363,61.81818181818182,102.81818181818181,,0.0,0.3333333333333333,0.6,0.0,0.0,22.0,74.29,125.24,Columbia
Columbus,0.07692307692307693,1942.841726618705,3.826751592356685,61.917159763313606,111.49112426035504,,0.0,1.0,1.0,0.01775147928994083,0.08284023668639054,37.0,70.5,142.16999999999948,Columbus
Commerce,0.5,1995.3333333333333,3.266666666666667,,,91.875,0.0,,,0.0,0.25,19.0,76.55,113.78,Commerce
Concord,0.0,1852.0,4.1,67.0,99.5,,0.0,,,0.0,0.0,2.0,91.51,135.9,Concord
Coney Island,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,88.82,92.95,Coney Island
Conshohocken,0.125,1985.0833333333333,3.7857142857142856,63.45454545454545,102.45454545454545,80.5,0.0,1.0,1.0,0.0,0.0,13.0,78.84,100.23,Conshohocken
Coppell,0.08333333333333333,1991.111111111111,3.6700000000000004,43.2,98.6,71.14285714285714,0.0,1.0,1.0,0.08333333333333333,0.08333333333333333,40.0,68.02999999999999,155.29999999999998,Coppell
Coral Gables,0.0,1995.0,3.6,90.0,109.0,,0.0,,,0.0,0.0,24.0,74.16,100.26,Coral Gables
Corona,0.0,,4.0,,,,0.0,,,0.0,0.0,19.0,76.55,113.78,Corona
Coronado,0.4,1995.0,3.44,,,68.7,0.0,,1.0,0.0,0.2,23.0,74.22,130.19,Coronado
Costa Mesa,0.25,1993.0,4.0,68.0,119.0,,0.0,0.0,0.0,0.0,0.0,19.0,76.55,113.78,Costa Mesa
Creve Coeur,1.0,1992.0,4.3,17.0,23.0,,1.0,,1.0,0.0,0.0,,,,Creve Coeur
Croton-on-Hudson,0.0,,,,,,0.0,,,0.0,0.0,1.0,100.0,100.0,Croton-on-Hudson
Culver City,0.02702702702702703,1993.090909090909,3.8531250000000004,85.14285714285714,142.28571428571428,107.72727272727273,0.0,0.75,0.9333333333333333,0.0,0.02702702702702703,19.0,76.55000000000004,113.78000000000009,Culver City
Cupertino,0.0,1973.5555555555557,3.8,81.6,137.4,135.25,0.0,0.0,0.25,0.02702702702702703,0.10810810810810811,14.0,78.64,143.4799999999999,Cupertino
Cypress,0.0,1969.0,3.3,,,70.5,0.0,,1.0,0.0,0.0,50.0,65.13,141.31,Cypress
DC Ranch,0.2,1983.0,3.8600000000000003,68.66666666666667,105.88888888888889,78.0,0.0,,1.0,0.0,0.0,43.0,67.40999999999998,127.26000000000002,DC Ranch
Dallas,0.14928909952606634,1972.6131147540984,3.786472148541109,58.555133079847906,106.40684410646388,73.88993710691824,0.0,1.0,1.0,0.004739336492890996,0.0947867298578199,40.0,68.02999999999966,155.30000000000118,Dallas
Daly City,0.0,2000.0,4.6,93.0,159.0,,0.0,,1.0,0.0,0.0,2.0,91.51,135.9,Daly City
Dania Beach,0.0,2011.0,2.8,71.0,108.0,,0.0,0.5,0.0,0.0,0.0,24.0,74.16,100.26,Dania Beach
Davenport,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,49.0,65.7,102.08,Davenport
Davie,0.0,,4.05,,,,0.0,,,0.0,0.0,24.0,74.16,100.26,Davie
Davis,0.0,2008.0,4.033333333333333,60.0,124.0,,0.0,,,0.0,0.0,17.0,77.0,115.39999999999999,Davis
Dayton,0.25,2004.0,4.199999999999999,69.5,120.5,,0.0,,1.0,0.0,0.0,,,,Dayton
Dearborn,0.0,1935.0,4.133333333333334,62.666666666666664,95.0,,0.0,,,0.0,0.0,54.0,63.85,78.58,Dearborn
Deer Park,0.0,2008.0,3.6,69.0,103.0,,0.0,,,0.0,0.0,50.0,65.13,141.31,Deer Park
Deerfield,0.06666666666666667,1928.923076923077,3.378571428571429,77.33333333333333,102.66666666666667,86.95833333333333,0.0,,1.0,0.0,0.0,11.0,80.18000000000004,113.52,Deerfield
Deerfield Beach,0.0,1978.0,4.0,62.0,101.0,,0.0,0.0,1.0,0.0,0.0,24.0,74.16,100.26,Deerfield Beach
DelRay Beach,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,24.0,74.16,100.26,DelRay Beach
Delray Beach,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,24.0,74.16,100.26,Delray Beach
